point_id,emission,lat,lon,river_name
7127,2.11883,1.7437500000554564,128.0029166666593,
7128,0.300951,1.7495833333890118,109.87708333332624,Kayan River
7129,0.300951,1.7495833333890118,109.87874999999298,Kayan River
7130,0.226857,1.7529166667226264,101.44374999999332,Sungai Dumai
7131,0.304204,1.7579166667226218,127.99374999999236,
7132,0.307363,1.7620833333893984,98.76874999999364,Aek Mela
7133,0.164239,1.7637500000561204,127.98624999999232,
7134,0.687209,1.7662500000560044,127.98124999999231,
7135,0.122904,1.7687500000562864,127.9612499999921,
7136,0.190294,1.7720833333895598,109.85041666665978,
7137,0.609774,1.7750000002355364,111.09874999999316,Krian River
7138,3.77269,1.7804166667229993,98.73791666666,Aek Mela
7139,0.384821,1.7812500000563318,101.3562499999934,Sungai Mesjid
7140,0.178089,1.7829166667230538,118.02041666665924,Sungai Tabalar
7141,0.627358,1.7837500000566138,109.30958333332626,
7142,1.18209,1.7845833333899463,98.70541666666035,Aek Mela
7143,0.344452,1.7862500000564978,98.70708333332692,Aek Mela
7144,12.1208,1.7887500000566092,109.79541666665956,
7145,0.192913,1.7912500000566638,109.79708333332628,
7146,0.653803,1.7929166667233858,101.3562499999934,
7147,0.106166,1.7929166667233858,109.82624999999302,
7148,0.522979,1.8012500000568252,109.34624999999288,
7149,28.3766,1.8020833333902144,109.78208333332634,
7150,1.52435,1.8062500000569912,109.39124999999297,Paloh river wetlands
7151,83.9075,1.812083333390376,100.92708333332688,Sungai Rokan
7154,0.286848,1.825416666724152,100.93374999999344,Sungai Rokan
7164,0.253109,1.8720833333918,117.85958333332589,Liu Padai
7165,0.144558,1.8845833333922428,109.67624999999305,Jernang River
7166,0.209119,1.901250000059292,109.6579166666598,
7167,1.41514,1.9062499965594952,98.54666666666007,Aek Parlabian
7168,0.129747,1.9062500000594584,109.65458333332651,Jernang River
7169,0.1814,1.90791666672618,117.83958333332588,Liu Padai
7170,0.113144,1.913750000059508,101.38708333332688,
7171,0.487952,1.9145833333928408,98.5379166666603,Aek Parlabian
7172,0.188218,1.9195833333930068,127.69291666665912,
7173,0.253702,1.9195833333928365,127.69541666665909,
7174,0.997614,1.9212500000597288,100.89541666666004,Sungai Bantaian
7175,0.153576,1.9229166667264508,127.85041666665929,
7176,0.320831,1.9279166667266168,100.91374999999364,Sungai Bantaian
7177,1.33268,1.929583333393168,98.5237499999937,Aek Parlabian
7178,0.433317,1.93208333339328,101.77708333332669,Selat Morong
7179,0.750744,1.932916666726612,98.51708333332698,
7180,0.182605,1.9345833333933344,111.16041666665956,Batang Seblak
7181,0.346172,1.9504166667272216,109.43208333332645,
7182,1.76018,1.9516666677229184,109.64666666586412,Jernang River
7183,2.05288,1.955416663226515,98.4966666666602,
7184,0.310044,1.9587500000604905,127.90874999999232,
7185,0.229936,1.9720833333942664,98.48458333332678,
7186,0.380123,1.9795833333943165,98.47541666666037,
7187,0.102468,1.9825000002549016,127.76124999999227,
7188,0.32357,1.9858333335885163,98.46874999999363,
7189,8.04303,1.9929166667280924,109.59124999999324,Jernang River
7190,0.292732,1.9995833333948096,100.89041666666026,Rokan River
7191,6.9891,2.0070833333950304,98.432083333327,Batu Garigis
7192,2.30917,2.009583333394972,98.41958333332695,Batu Garigis
7193,15.5295,2.0137500000619184,98.38708333332691,Batu Garigis
7194,0.104266,2.0154166667286404,117.76541666665946,Sungai Pantai
7195,2.34618,2.027083333395524,98.3662499999936,Batu Garigis
7196,1.11421,2.027083333395524,117.71791666665932,Sungai Pantai
7197,0.171664,2.031250000062357,117.80041666665954,Sungai Pantai
7198,1.44426,2.034583333395801,117.70291666665968,Sungai Pantai
7199,1.02818,2.034583333395801,128.3179166666589,Ake Tjao
7200,0.584337,2.035416666729134,101.57291666666016,Selat Morong
7201,3.90659,2.0395833333957967,98.35458333332672,Batu Garigis
7202,1.1516,2.0395833333957967,111.19874999999293,
7203,57.8098,2.040000000260136,98.30374999999368,Aek Tumba
7204,0.297748,2.0445833333959627,101.72291666666,
7205,0.166894,2.0445833333959627,128.36291666665898,Ake Totodakoe
7206,0.100589,2.0470833333958467,100.87624999999326,Rokan River
7207,2.46205,2.04791666672918,98.34208333332704,Batu Garigis
7208,0.245898,2.059583333396233,128.42624999999248,Ake Sabatai
7209,0.306996,2.0620833333963446,128.29124999999226,Ake Tjao
7210,0.39179,2.0650000010669487,111.27166666586942,Rajang River
7211,12.5235,2.0704166667299546,111.29291666665972,Rajang River
7212,0.2062,2.0745833333965606,101.5837499999933,Selat Morong
7213,2.34905,2.076250000063282,117.68374999999276,Sungai Pantai
7214,1.41051,2.08375000006356,97.34791666666024,
7215,0.225563,2.0954166667304435,100.82374999999348,Rokan River
7216,3.1722,2.098333333598987,111.34791666665956,Rajang River
7217,1.37379,2.09958333339722,128.5445833333257,Ake Sambiki
7218,0.411999,2.102916666730664,101.61124999999332,
7219,0.178342,2.105416663227232,128.254166666659,Ake Pilowo
7220,0.316336,2.112916666730825,100.69624999999336,Sungai Kubu
7221,0.223842,2.112916666730825,111.29124999999316,Rajang River
7222,0.706727,2.113750000064215,97.33791666666023,
7223,0.296078,2.1245833333978794,98.18041666666034,Aek Tumba
7224,14.7596,2.125416666731269,100.6512499999933,Sungai Kubu
7225,0.10808,2.132916666731319,97.33874999999364,
7226,4.05847,2.136250000064763,111.35624999999284,Rajang River
7227,12.4471,2.1379166667313143,111.48208333332629,Rajang River
7228,0.362749,2.1379166667313143,127.90291666665884,
7229,332.242,2.138750000064647,111.4970833333262,Rajang River
7230,0.141794,2.141250000064929,111.33708333332623,Rajang River
7231,0.11451,2.1445833333982023,128.5779166666589,Ake Lira
7232,0.179493,2.1483333336036594,111.20791666665974,
7233,0.122234,2.154583333398364,111.42374999999294,Rajang River
7234,0.274427,2.158750000065311,127.92458333332549,
7235,0.110987,2.1595833333987,128.5862499999921,Ake Lira
7236,0.18173,2.162083333398755,111.40374999999318,Rajang River
7237,0.28326,2.1654166667320283,111.47374999999283,Rajang River
7238,0.12476,2.174166667743976,97.31666666587512,
7239,0.123207,2.178750000065804,117.66041666665932,Sungai Berau
7240,0.18402,2.1795833333991936,128.59541666665905,Ake Lira
7241,0.304357,2.181250000065745,127.98124999999231,
7242,0.249802,2.1820833333990777,97.30791666666032,
7243,0.222988,2.1920833333994096,100.77624999999352,
7244,0.254619,2.1966666669414394,111.42958333332648,Rajang River
7245,0.3124,2.1979166667327377,111.2412499999931,Rajang River
7246,56.7437,2.2045833333996256,117.63374999999304,Sungai Lari
7247,0.122335,2.207083333399737,117.64541666665934,Sungai Lari
7248,0.206096,2.210416666733181,97.22874999999368,
7249,0.288225,2.212083333399903,111.28958333332643,
7250,6.63413,2.222916666733397,98.04541666666027,
7251,3.84321,2.231250000067007,98.02958333332695,
7252,0.41606,2.2495833334007784,97.86791666666028,
7253,55.781,2.2575000002805155,97.78208333332692,Sungai Singkil
7254,3.91566,2.2637500000677733,97.96958333332674,
7255,0.423653,2.26708333340099,97.83708333332696,Sungai Singkil
7256,0.390823,2.2754166667346,128.63791666665907,
7257,0.273067,2.2887500000682053,111.19291666665976,
